TRAFFIC_SIGNAL_ID,RECORD_DATE,RECORD_STATUS,SIGNAL_STATUS,FROM_DATE,TO_DATE,SIGNAL_OWNER,LOCATION_CODE,LOCATION_ID,SIGNAL_TYPE,INSTALLATION_DATE,REBUILD_DATE,MAJOR_RETIME_DATE
234,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4268,588,,,,
235,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5400,914,,,,
236,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5500,950,,,,
237,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4247,575,,,,
238,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4731,763,,,,
240,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4370,634,,,,
241,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4392,645,,,,
242,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4541,701,,,,
243,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5454,929,,,,
244,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5820,1000,,,,
246,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3584,329,,,,
247,2012-01-09 14:58:19.000001,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3258,190,,,,
577,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4805,794,,,,
578,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5084,861,,,,
579,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4345,620,,,,
580,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4388,640,,,,
84,2012-01-09 14:58:18,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3447,282,,,,
